Experiment grouping,Feature epresentation,"Including ""calculated"" features?",Classifier ype,Best hyperparameters,F1,Precision,Recall,False egatives,False positives,True negatives,True positives,tf,Unnamed: 4
classic doc embeddings,doc2vec,Y,SVM,C 10;kernel linear;random_state 42,0.77,0.79,0.75,47,38,793,143,doc2vec inc_calculated,
classic word embeddings,FastText300,N,LR,C 1;penalty l2;random_state 42,0.77,0.81,0.73,52,32,799,138,fasttext_300_sum,
classic word embeddings,FastText300,N,"ensemble (LR, SVM)",ensemble,0.76,0.84,0.70,57,26,805,133,fasttext_300_sum,
classic vector space,VSM_TFIDF,Y,RF,criterion gini;random_state 42,0.76,0.96,0.63,70,5,826,120,features/df_tweet_tfidf_train.pickle,
classic vector space,VSM_TF,Y,RF,criterion gini;random_state 42,0.76,0.96,0.63,70,5,826,120,features/df_tweet_tf_train.pickle,
classic word embeddings,GloVe200,N,LR,C 0.05;penalty l2;random_state 42,0.75,0.85,0.67,62,22,809,128,glove_twitter200_sum,
classic vector space,VSM_count,Y,RF,criterion gini;random_state 42,0.75,0.97,0.62,73,4,827,117,features/df_tweet_train.pickle,
classic doc embeddings,doc2vec,Y,"ensemble (LR, SVM, DT, RF)",ensemble,0.75,0.87,0.66,65,19,812,125,doc2vec inc_calculated,
classic vector space,VSM_TFIDF,N,DT,criterion gini;random_state 42,0.74,0.78,0.71,56,38,793,134,features/df_tweet_tfidf_train_nc.pickle,
classic vector space,VSM_TF,N,DT,criterion gini;random_state 42,0.74,0.78,0.71,56,38,793,134,features/df_tweet_tf_train_nc.pickle,
classic vector space,VSM_TFIDF,Y,DT,criterion entropy;random_state 42,0.74,0.75,0.73,52,45,786,138,features/df_tweet_tfidf_train.pickle,
classic vector space,VSM_TF,Y,DT,criterion entropy;random_state 42,0.74,0.75,0.73,52,45,786,138,features/df_tweet_tf_train.pickle,
classic vector space,VSM_count,N,DT,criterion entropy;random_state 42,0.74,0.74,0.74,50,49,782,140,features/df_tweet_train_nc.pickle,
classic vector space,VSM_count,N,RF,criterion gini;random_state 42,0.73,0.97,0.59,78,3,828,112,features/df_tweet_train_nc.pickle,
classic vector space,VSM_TFIDF,N,RF,criterion gini;random_state 42,0.73,0.96,0.59,78,5,826,112,features/df_tweet_tfidf_train_nc.pickle,
classic vector space,VSM_TF,N,RF,criterion gini;random_state 42,0.73,0.96,0.59,78,5,826,112,features/df_tweet_tf_train_nc.pickle,
CNN embeddings,FastText300,n/a,CNN,,0.72,0.72,0.72,53,52,779,137,gs://dissertation_bucket/fasttext300_cnn,
classic word embeddings,GloVe200,Y,DT,criterion entropy;random_state 42,0.70,0.72,0.68,60,50,781,130,glove_twitter200_sum_plusCounts,
classic vector space,VSM_count,N,DT,criterion entropy;random_state 42,0.70,0.71,0.69,58,54,777,132,features/df_tweetbio_train_nc.pickle,
classic vector space,VSM_TFIDF,Y,DT,criterion entropy;random_state 42,0.69,0.72,0.67,63,49,782,127,features/df_tweetbio_tfidf_train.pickle,
classic vector space,VSM_TF,Y,DT,criterion entropy;random_state 42,0.69,0.72,0.67,63,49,782,127,features/df_tweetbio_tf_train.pickle,
classic vector space,VSM_count,Y,DT,criterion gini;random_state 42,0.67,0.66,0.69,59,68,763,131,features/df_tweetbio_train.pickle,
classic doc embeddings,doc2vec,N,SVM,C 10;kernel linear;random_state 42,0.67,0.69,0.65,66,55,776,124,doc2vec exc_calculated,
classic vector space,VSM_TFIDF,N,DT,criterion gini;random_state 42,0.67,0.71,0.63,70,50,781,120,features/df_tweetbio_tfidf_train_nc.pickle,
